Jan,2015,,
1,51,37,23
2,54,48,41
3,51,49,46
4,69,59,49
5,56,44,32
6,55,41,26
7,39,28,16
8,27,19,11
9,45,34,22
10,39,31,22
11,49,33,17
12,48,42,36
13,44,38,31
14,33,31,28
15,41,36,31
16,53,42,30
17,51,39,27
18,60,51,41
19,63,47,31
20,67,53,39
21,54,45,36
22,59,45,30
23,41,38,35
24,49,42,35
25,55,42,29
26,50,44,38
27,44,37,30
28,46,36,25
29,47,35,23
30,48,39,29
31,48,35,22
Feb,2015,,
1,57,45,32
2,62,46,29
3,45,34,22
4,54,40,25
5,50,39,27
6,42,30,17
7,60,43,26
8,72,56,39
9,62,54,45
10,45,41,36
11,51,41,30
12,54,42,29
13,35,29,23
14,53,38,22
15,29,22,15
16,27,23,19
17,35,27,19
18,40,30,19
19,23,18,12
20,26,17,7
21,40,29,18
22,57,46,34
23,47,39,30
24,30,25,19
25,46,32,18
26,35,32,28
27,45,34,23
28,37,32,26
Mar,2015,,
1,35,32,28
2,61,48,34
3,43,39,35
4,75,57,38
5,66,49,32
6,37,31,24
7,58,39,20
8,71,53,35
9,65,57,48
10,75,63,50
11,76,68,59
12,66,58,49
13,53,48,42
14,62,54,45
15,73,61,48
16,80,61,41
17,82,65,47
18,60,50,39
19,54,47,40
20,51,46,40
21,65,53,40
22,66,57,47
23,58,51,43
24,67,52,36
25,67,57,47
26,75,66,57
27,66,53,40
28,46,39,32
29,52,37,22
30,66,54,41
31,74,55,35
Apr,2015,,
1,66,57,47
2,74,57,39
3,83,72,61
4,73,58,43
5,68,51,33
6,76,64,52
7,72,67,61
8,84,73,62
9,78,68,57
10,84,75,65
11,75,64,52
12,73,60,47
13,80,65,50
14,79,70,61
15,61,57,52
16,66,57,48
17,78,67,56
18,80,71,61
19,73,68,63
20,78,71,63
21,70,61,52
22,77,61,44
23,68,59,49
24,67,53,38
25,57,51,45
26,54,50,45
27,68,54,39
28,69,54,39
29,70,57,43
30,73,62,51
May,2015,,
1,61,56,51
2,73,60,46
3,79,63,47
4,82,68,53
5,82,69,56
6,83,69,54
7,82,70,58
8,81,69,57
9,85,75,65
10,78,73,68
11,87,78,69
12,87,78,68
13,80,69,58
14,72,64,56
15,77,66,55
16,85,73,60
17,88,76,63
18,91,80,69
19,90,80,69
20,88,75,62
21,71,64,57
22,75,64,52
23,80,64,48
24,83,69,54
25,84,71,57
26,89,77,65
27,87,78,69
28,87,78,68
29,87,77,66
30,88,77,66
31,89,79,69
Jun,2015,,
1,90,79,68
2,82,75,67
3,68,66,63
4,68,65,61
5,78,69,60
6,88,74,59
7,86,74,62
8,89,77,65
9,89,78,67
10,88,78,67
11,93,82,70
12,90,81,71
13,95,85,74
14,96,84,71
15,99,86,72
16,100,87,73
17,96,85,74
18,98,85,71
19,95,84,72
20,96,84,71
21,95,84,73
22,96,83,70
23,98,87,76
24,95,85,74
25,92,82,71
26,92,81,69
27,88,79,70
28,84,74,64
29,88,74,60
30,92,80,67
Jul,2015,,
1,87,77,67
2,87,80,72
3,78,74,69
4,87,78,69
5,90,80,69
6,89,80,70
7,91,81,70
8,91,82,72
9,94,83,72
10,94,84,73
11,91,82,72
12,86,76,66
13,88,80,71
14,88,79,70
15,88,81,74
16,86,79,72
17,90,79,68
18,93,84,74
19,93,83,72
20,93,83,72
21,93,83,73
22,88,80,71
23,82,77,72
24,86,77,68
25,88,76,64
26,89,78,66
27,90,81,72
28,90,82,73
29,91,83,75
30,94,84,73
31,91,81,71
Aug,2015,,
1,93,79,65
2,90,78,65
3,95,82,69
4,95,84,73
5,97,85,73
6,95,83,71
7,75,73,70
8,85,76,66
9,89,77,64
10,85,78,71
11,87,78,69
12,87,76,65
13,88,76,63
14,88,77,65
15,91,79,66
16,92,81,69
17,95,82,69
18,85,80,74
19,89,81,72
20,90,81,72
21,88,79,70
22,87,77,66
23,87,74,61
24,92,82,72
25,89,81,72
26,82,76,69
27,84,75,65
28,87,74,60
29,86,73,60
30,86,75,63
31,77,72,67
Sep,2015,,
1,91,79,67
2,94,81,68
3,91,80,69
4,92,80,68
5,86,78,69
6,81,74,66
7,87,79,71
8,89,80,70
9,91,81,71
10,89,80,71
11,84,77,70
12,78,73,68
13,76,66,55
14,78,63,48
15,82,66,50
16,81,67,52
17,84,72,60
18,84,70,56
19,87,75,62
20,86,74,62
21,79,72,65
22,79,73,66
23,77,70,63
24,76,68,60
25,70,67,64
26,69,67,64
27,77,71,64
28,80,75,70
29,82,78,74
30,83,75,66
Oct,2015,,
1,66,62,58
2,60,58,55
3,68,61,53
4,69,64,58
5,60,58,56
6,73,62,51
7,81,67,52
8,83,70,57
9,82,71,60
10,67,62,56
11,72,62,52
12,78,65,51
13,79,70,60
14,77,65,52
15,73,62,50
16,68,58,47
17,67,53,39
