Jan,2015,,
1,41,32,23
2,45,40,35
3,50,44,37
4,57,46,34
5,34,29,22
6,35,28,22
7,25,13,1
8,26,12,-1
9,32,25,18
10,36,22,9
11,46,28,10
12,51,46,42
13,42,36,28
14,36,32,28
15,41,32,23
16,36,31,26
17,44,32,21
18,42,39,36
19,53,41,29
20,55,46,36
21,47,38,30
22,46,37,28
23,32,30,28
24,37,32,27
25,46,38,30
26,37,30,23
27,27,24,21
28,37,26,16
29,44,32,19
30,36,31,23
31,41,30,19
Feb,2015,,
1,44,37,31
2,45,32,18
3,40,28,17
4,47,33,19
5,36,27,17
6,39,28,17
7,57,42,27
8,62,48,34
9,52,48,44
10,41,35,25
11,50,34,18
12,36,25,14
13,29,20,11
14,36,24,11
15,17,8,0
16,25,16,14
17,29,22,15
18,26,16,5
19,4,0,-4
20,27,11,-3
21,41,28,17
22,52,44,35
23,38,30,21
24,26,22,18
25,38,28,18
26,33,29,25
27,30,22,15
28,33,22,12
Mar,2015,,
1,57,38,22
2,49,40,32
3,56,44,32
4,72,62,53
5,52,36,19
6,38,25,13
7,49,36,24
8,58,47,37
9,51,46,41
10,60,52,44
11,60,56,51
12,57,44,32
13,46,42,38
14,61,52,43
15,58,50,41
16,66,57,48
17,63,55,46
18,54,44,35
19,45,38,32
20,51,42,34
21,60,51,42
22,64,54,43
23,60,51,42
24,62,50,39
25,56,49,42
26,67,59,51
27,49,39,29
28,32,26,20
29,47,34,21
30,53,44,35
31,65,53,41
Apr,2015,,
1,64,51,38
2,56,46,35
3,70,61,52
4,56,44,31
5,57,40,22
6,59,50,40
7,59,56,53
8,70,61,52
9,76,62,47
10,68,62,55
11,63,52,40
12,64,48,32
13,57,53,50
14,68,62,56
15,59,50,42
16,50,45,40
17,68,58,49
18,72,59,46
19,60,57,54
20,66,56,47
21,55,46,37
22,64,48,33
23,54,46,39
24,62,50,37
25,59,50,42
26,56,50,45
27,54,46,36
28,63,47,31
29,60,48,35
30,60,52,43
May,2015,,
1,50,45,40
2,64,53,42
3,70,52,35
4,73,58,42
5,75,60,44
6,77,61,45
7,74,60,46
8,79,64,48
9,75,61,47
10,78,66,55
11,77,66,54
12,75,66,56
13,71,60,50
14,67,53,39
15,74,63,52
16,74,64,54
17,75,66,57
18,76,68,59
19,75,68,60
20,77,66,54
21,65,57,49
22,66,54,42
23,72,56,39
24,73,58,42
25,75,64,52
26,76,69,61
27,75,65,55
28,77,66,55
29,76,66,55
30,75,66,57
31,76,65,54
Jun,2015,,
1,75,64,54
2,70,62,52
3,63,58,52
4,70,62,53
5,74,64,54
6,78,66,53
7,74,67,60
8,77,69,61
9,74,66,58
10,81,66,52
11,81,69,57
12,78,69,60
13,80,72,64
14,83,74,64
15,83,73,63
16,84,72,60
17,84,76,68
18,84,74,63
19,81,72,62
20,75,68,61
21,83,74,65
22,82,74,65
23,82,72,61
24,85,76,65
25,82,71,60
26,85,74,64
27,78,70,62
28,70,61,52
29,74,62,49
30,76,67,58
Jul,2015,,
1,76,70,62
2,69,65,61
3,74,67,60
4,74,68,61
5,77,69,61
6,75,68,61
7,79,66,54
8,78,70,63
9,84,72,60
10,83,74,64
11,78,70,61
12,75,66,57
13,81,72,62
14,77,68,60
15,72,68,63
16,78,68,59
17,82,72,63
18,83,73,63
19,81,74,68
20,82,75,68
21,79,74,68
22,81,73,64
23,80,72,64
24,77,69,61
25,81,71,61
26,82,70,59
27,78,70,62
28,84,73,62
29,77,70,63
30,83,73,63
31,78,68,57
Aug,2015,,
1,78,66,54
2,78,66,53
3,83,69,55
4,83,69,55
5,83,72,61
6,76,67,58
7,72,68,63
8,77,70,63
9,81,70,59
10,81,72,62
11,79,72,65
12,75,66,57
13,75,63,51
14,79,67,55
15,75,65,55
16,77,66,54
17,80,70,59
18,74,68,63
19,80,72,63
20,78,70,63
21,78,70,61
22,75,66,58
23,72,68,64
24,79,72,63
25,74,66,58
26,75,66,56
27,74,62,51
28,77,66,55
29,76,64,52
30,70,64,57
31,77,68,58
Sep,2015,,
1,81,68,55
2,82,70,57
3,81,69,57
4,81,68,55
5,73,65,57
6,77,68,59
7,77,66,54
8,81,69,57
9,79,71,63
10,73,68,64
11,75,67,59
12,64,58,52
13,59,52,46
14,70,55,40
15,72,56,39
16,67,54,41
17,73,56,39
18,76,60,43
19,76,60,44
20,74,64,53
21,62,59,56
22,68,62,56
23,69,60,52
24,68,58,49
25,58,54,51
26,57,56,55
27,59,57,55
28,65,62,60
29,72,68,63
30,75,68,61
Oct,2015,,
1,61,58,54
2,54,52,49
3,58,54,49
4,58,56,53
5,71,60,49
6,71,56,41
7,72,57,42
8,72,58,45
9,70,61,52
10,57,54,51
11,67,57,47
12,67,54,41
13,66,58,50
14,61,53,45
15,63,52,40
16,59,48,36
17,52,43,34
18,48,40,32
19,55,40,24
20,64,46,29
21,70,50,31
22,72,53,34
23,72,56,40
24,56,50,43
25,63,57,51
26,56,49,42
27,46,42,39
28,60,53,46
29,57,50,42
30,55,44,34
31,53,42,32
Nov,2015,,
1,63,56,50
2,57,55,53
3,59,56,53
4,61,56,53
5,68,60,52
6,68,62,57
7,59,51,43
8,46,41,37
9,49,44,38
10,55,50,43
11,61,48,36
12,64,50,37
13,48,43,38
14,47,40,33
15,59,42,25
16,58,42,26
17,52,42,33
18,57,50,42
19,60,54,47
20,49,39,29
21,48,36,24
22,41,36,27
23,38,30,23
24,48,37,26
25,49,36,23
26,54,40,26
27,61,52,42
28,59,49,39
29,58,54,50
30,51,46,40
Dec,2015,,
1,55,52,49
2,54,46,38
3,39,34,30
4,51,36,21
5,48,34,19
6,53,36,18
7,50,38,27
8,53,40,27
9,52,40,27
10,60,47,35
11,63,49,35
12,66,52,39
13,63,50,37
14,61,56,51
15,58,48,38
16,59,44,29
17,55,50,45
18,45,34,23
19,35,29,23
20,47,35,23
21,51,44,36
22,64,57,50
23,58,54,50
24,63,60,56
25,62,58,54
26,64,58,51
27,66,60,54
28,60,49,38
29,65,52,39
30,60,51,42
31,52,44,38
Jan,2016,,
1,40,34,28
2,42,34,25
3,40,34,29
4,32,26,20
5,32,23,14
6,38,24,10
7,52,36,19
8,48,38,29
9,46,39,34
10,42,31,19
11,30,21,13
12,37,26,16
13,33,24,16
14,49,38,28
15,41,34,26
16,42,36,30
17,30,26,22
18,22,16,9
19,18,11,5
20,31,20,9
21,41,32,23
22,27,22,17
23,22,18,15
24,41,28,14
25,46,31,17
26,50,37,24
27,41,33,24
28,46,31,16
29,35,33,31
30,49,36,24
31,58,42,25
Feb,2016,,
1,61,48,35
2,44,38,34
3,58,50,43
4,47,38,30
5,34,28,21
6,38,28,18
7,42,36,29
8,39,32,27
9,27,20,14
10,16,13,10
11,28,20,12
12,33,28,22
13,21,16,11
14,19,14,10
15,34,24,14
16,38,34,31
17,35,32,30
18,44,35,27
19,46,36,25
20,52,44,35
21,59,54,50
22,54,46,39
23,41,39,37
24,56,44,31
25,32,30,28
26,30,28,25
27,41,34,26
28,60,48,36
29,57,46,34
Mar,2016,,
1,62,44,28
2,41,32,23
3,33,28,23
4,38,33,28
5,48,38,27
6,55,43,32
7,60,44,27
8,70,51,33
9,66,52,38
10,68,60,51
11,70,63,56
12,67,59,52
13,62,56,51
14,66,54,43
15,71,61,51
16,70,56,42
17,62,50,38
18,60,50,38
19,55,46,36
20,40,36,33
21,42,35,28
22,59,46,34
23,69,50,31
24,65,50,36
25,61,54,48
26,61,48,36
27,62,55,48
28,56,50,42
29,58,46,34
30,60,44,27
31,58,54,50
Apr,2016,,
1,67,60,52
2,55,50,45
3,53,41,29
4,67,49,31
5,53,42,29
6,50,38,27
7,54,47,40
8,46,39,32
9,38,34,29
10,54,38,23
